Maths,10:30:00,01:45:00,03/06/2019 10:30:00
Physique,12:45:00,00:50:00,03/06/2019 12:45:00
Allemand,13:35:00,00:55:00,03/06/2019 13:35:00
ISN,08:25:00,01:50:00,04/06/2019 08:25:00
Maths,11:20:00,00:55:00,04/06/2019 11:20:00
SVT,12:45:00,00:50:00,04/06/2019 12:45:00
Allemand,13:35:00,00:55:00,04/06/2019 13:35:00
Anglais,14:30:00,00:50:00,04/06/2019 14:30:00
Philo,15:35:00,01:45:00,04/06/2019 15:35:00
SVT,17:20:00,00:50:00,04/06/2019 17:20:00
Physique,08:25:00,01:50:00,05/06/2019 08:25:00
SVT,10:30:00,01:45:00,05/06/2019 10:30:00
Maths,12:15:00,00:50:00,05/06/2019 12:15:00
Maths,09:20:00,02:55:00,06/06/2019 09:20:00
Hist-Geo,12:45:00,00:50:00,06/06/2019 12:45:00
Physique,14:30:00,00:50:00,06/06/2019 14:30:00
Hist-Geo,15:35:00,01:45:00,06/06/2019 15:35:00
Anglais,11:20:00,00:55:00,07/06/2019 11:20:00
Philo,12:45:00,00:50:00,07/06/2019 12:45:00
Physique,13:35:00,00:55:00,07/06/2019 13:35:00
Allemand,15:35:00,00:55:00,07/06/2019 15:35:00
SVT,16:30:00,00:50:00,07/06/2019 16:30:00
Physique,17:30:00,00:30:00,07/06/2019 17:30:00
SVT,18:00:00,00:30:00,07/06/2019 18:00:00
